ident,type,name,iata,icao,iso_country,municipality,lat,lng
GMMI,medium_airport,Essaouira-Mogador Airport,ESU,GMMI,MA,Essaouira,31.3975,-9.68167
GMFF,large_airport,Fes Saïss International Airport,FEZ,GMFF,MA,Saïss,33.9273,-4.97796
MA-GLN,small_airport,Guelmim Airport,GLN,GMAG,MA,Guelmim,29.0267,-10.0503
GMMY,medium_airport,Kenitra Air Base,NNA,GMMP,MA,Kenitra,34.2989,-6.59588
GMMX,large_airport,Marrakesh Menara Airport,RAK,GMMX,MA,Marrakesh,31.60481,-8.03579
GMMN,large_airport,Mohammed V International Airport,CMN,GMMN,MA,Casablanca,33.3675,-7.58997
GMFK,medium_airport,Moulay Ali Cherif Airport,ERH,GMFK,MA,Errachidia,31.9475,-4.39833
GMMW,large_airport,Nador Al Aaroui International Airport,NDR,GMMW,MA,Al Aaroui,34.9888,-3.02821
GMMZ,large_airport,Ouarzazate International Airport,OZZ,GMMZ,MA,Ouarzazate,30.9391,-6.90943
GMFO,large_airport,Oujda Angads Airport,OUD,GMFO,MA,Ahl Angad,34.78956,-1.92604
GMME,large_airport,Rabat-Salé Airport,RBA,GMME,MA,Rabat,34.0515,-6.75152
GMTN,large_airport,Sania Ramel Airport,TTU,GMTN,MA,Tétouan,35.5943,-5.32002
GMAT,medium_airport,Tan Tan Airport,TTA,GMAT,MA,Tan Tan,28.44756,-11.16175
GMTT,large_airport,Tangier Ibn Battuta Airport,TNG,GMTT,MA,Tangier,35.73174,-5.92146
GMAZ,large_airport,Zagora Airport,OZG,GMAZ,MA,Zagora,30.26579,-5.86081
LNMC,heliport,Monaco Heliport,MCM,LNMC,MC,Fontvieille,43.7258,7.41967
LUBL,medium_airport,Bălți-Leadoveni International Airport,BZY,LUBL,MD,Bălți,47.83767,27.78111
LUCH,medium_airport,Cahul International Airport,,LUCH,MD,Cahul,45.8438,28.2637
LUKK,large_airport,Chişinău International Airport,RMO,LUKK,MD,Chişinău,46.92774,28.9317
LUBM,medium_airport,Mărculești Air Base,,LUBM,MD,Mărculeşti,47.8627,28.2128
LUTR,medium_airport,Tiraspol Airfield,,LUTR,MD,Tiraspol,46.8681,29.5906
LYBR,small_airport,Berane Airport,IVG,LYBR,ME,Berane,42.839,19.862
LYPG,large_airport,Podgorica Airport / Podgorica Golubovci Airbase,TGD,LYPG,ME,Podgorica,42.3594,19.2519
LYTV,medium_airport,Tivat Airport,TIV,LYTV,ME,Tivat,42.4047,18.7233
TFFG,medium_airport,Grand Case-l'Espérance Airport,SFG,TFFG,MF,Grand Case,18.10006,-63.04744
MSB,seaplane_base,Marigot Seaplane Base,MSB,MSB,MF,Saint Martin,18.0696,-63.087
FMNW,medium_airport,Ambalabe Airport,WAI,FMNW,MG,Antsohihy,-14.8988,47.9939
AHY,small_airport,Ambatolhy Airport,AHY,AHY,MG,Ambatolahy,-20.01583,45.535
AMY,small_airport,Ambatomainty Airport,AMY,FMMB,MG,,-17.68667,45.62389
FMMZ,small_airport,Ambatondrazaka Airport,WAM,FMMZ,MG,Ambatondrazaka,-17.79538,48.44258
FMNE,small_airport,Ambilobe Airport,AMB,FMNE,MG,,-13.1884,48.988
FMFE,small_airport,Ambohibary Airport,OHB,FMFE,MG,Moramanga,-18.9175,48.21819
FMNM,large_airport,Amborovy Airport,MJN,FMNM,MG,Mahajanga,-15.66684,46.35123
FMNZ,small_airport,Ampampamena Airport,IVA,FMNZ,MG,,-13.48482,48.6327
